1e-05	925.981
1e-05	925.981
1.03125e-05	916.456
1.03315e-05	915.878
1.0625e-05	906.974
1.06631e-05	905.823
1.09375e-05	897.532
1.09946e-05	895.814
1.125e-05	888.128
1.13261e-05	885.846
1.15625e-05	878.76
1.16577e-05	875.917
1.1875e-05	869.424
1.19892e-05	866.024
1.21875e-05	860.119
1.23207e-05	856.164
1.25e-05	850.842
1.26522e-05	846.336
1.28122e-05	841.601
1.28125e-05	841.593
1.29838e-05	836.537
1.31244e-05	832.386
1.3125e-05	832.369
1.33153e-05	826.766
1.34366e-05	823.194
1.34375e-05	823.169
1.36468e-05	817.02
1.37488e-05	814.025
1.375e-05	813.991
1.39784e-05	807.307
1.43099e-05	797.603
1.43733e-05	795.749
1.4375e-05	795.698
1.46414e-05	787.932
1.49977e-05	777.549
1.5e-05	777.482
1.50073e-05	777.269
1.50147e-05	777.057
1.50293e-05	776.631
1.50586e-05	775.78
1.51172e-05	774.079
1.52344e-05	770.676
1.53045e-05	768.64
1.54687e-05	763.871
1.5625e-05	759.334
1.58914e-05	751.623
1.59375e-05	750.291
1.625e-05	741.248
1.64063e-05	736.74
1.64784e-05	734.659
1.6875e-05	723.217
1.68859e-05	722.904
1.69243e-05	721.799
1.69627e-05	720.695
1.70394e-05	718.487
1.70653e-05	717.742
1.71929e-05	714.071
1.75e-05	705.238
1.76522e-05	700.87
1.8125e-05	691.699
1.82392e-05	689.974
1.875e-05	682.259
1.88261e-05	681.113
1.9375e-05	672.857
1.94131e-05	672.287
2e-05	663.492
2.05827e-05	654.798
2.06424e-05	653.908
2.09375e-05	649.506
2.09443e-05	649.405
2.09699e-05	649.024
2.09955e-05	648.644
2.10467e-05	647.884
2.11492e-05	646.363
2.11654e-05	646.121
2.12847e-05	644.35
2.1354e-05	643.321
2.17481e-05	637.47
2.17638e-05	637.238
2.1875e-05	635.586
2.19271e-05	634.815
2.23309e-05	628.847
2.25695e-05	625.319
2.25832e-05	625.116
2.28125e-05	621.727
2.29136e-05	620.238
2.32119e-05	615.846
2.34027e-05	613.036
2.34963e-05	611.657
2.375e-05	607.922
2.38543e-05	606.392
2.4079e-05	603.094
2.42221e-05	600.993
2.44966e-05	596.966
2.46617e-05	594.543
2.46875e-05	594.165
2.50416e-05	589.216
2.5139e-05	588.333
2.5625e-05	583.922
2.57814e-05	582.51
2.58271e-05	582.096
2.58611e-05	581.79
2.64237e-05	576.707
2.65625e-05	575.454
2.66805e-05	574.393
2.69926e-05	571.586
2.70661e-05	570.925
2.75e-05	567.023
2.77085e-05	565.156
2.8158e-05	561.129
2.84281e-05	558.71
2.84375e-05	558.626
2.89932e-05	553.667
2.93234e-05	550.72
2.93563e-05	550.427
2.9375e-05	550.26
3.01962e-05	542.957
3.0278e-05	542.229
3.02844e-05	542.173
3.03125e-05	541.923
3.1069e-05	535.217
3.12125e-05	533.944
3.125e-05	533.612
3.16104e-05	530.426
3.19417e-05	527.498
3.21406e-05	525.74
3.21875e-05	525.326
3.28145e-05	519.799
3.29428e-05	518.668
3.30688e-05	517.558
3.3125e-05	517.062
3.36872e-05	512.119
3.39969e-05	509.397
3.40625e-05	508.82
3.42751e-05	506.955
3.456e-05	504.457
3.4925e-05	501.255
3.5e-05	500.598
3.52344e-05	499.338
3.54327e-05	498.273
3.54687e-05	498.079
3.56075e-05	497.334
